critere,question,reponse,2a,2b
Equipement TIC de votre Collectivité - Site web,Q34. Combien environ avez-vous investi dans la création de ce site ?,De 2 000 à moins de 3 000€,8.0,6.0
Equipement TIC de votre Collectivité - Site web,Q35.p. Votre site comporte-t-il les éléments suivants :-La possibilité de payer des prestations en ligne,OUI,1.0,1.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.k. La Collectivité est-elle équipée ou utilise-t-elle :-Une plateforme de gestion des marchés publics,NON mais c est en projet,6.0,8.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q42.a. Cette plateforme permet-elle de :-Télécharger les cahiers des charges des marchés publics que vous émettez,NON,0.0,2.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q42.b. Cette plateforme permet-elle de :-Déposer par voie électronique leur réponse à vos appels d offres,OUI,9.0,22.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q44. La Collectivité a-t-elle l intention de développer des nouveaux services numériques, soit pourses besoins propres en interne, soit pour ses relations avec les administrés ?,Non,19.0,34.0
Perception de l importance des TIC et attentes en la matière,Q52.a. Etes-vous d accord avec les affirmations suivantes:-Ces technologies ont un impact positif dans la circulation de l’information, l’organisation du travail et la réduction des délais,Tout à fait d accord,32.0,60.0
Equipement TIC de votre Collectivité - Site web,Q30. Si non : Avez-vous…,Aucun projet de créer un site Internet,18.0,22.0
Equipement TIC de votre Collectivité - Site web,Q36. Votre collectivité dispose-t-elle d un compte sur des sites de réseaux sociaux ?,Non,45.0,83.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q44. La Collectivité a-t-elle l intention de développer des nouveaux services numériques, soit pourses besoins propres en interne, soit pour ses relations avec les administrés ?,Ne sait pas,19.0,41.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q47.b. Si oui : Quel type de formation leuroffrez-vous, parmi les propositions suivantes ?-Formation à l utilisation d applicatifs métiers,NON,4.0,8.0
Perception de l importance des TIC et attentes en la matière,Q52.c. Etes-vous d accord avec les affirmations suivantes:-Ces technologies permettent d améliorer fortement la qualité du service apporté au public,Plutôt pas d accord,3.0,3.0
Perception de l importance des TIC et attentes en la matière,Q52.e. Etes-vous d accord avec les affirmations suivantes:-La diffusion des technologies de l’information est entravée par le manque de formation des personnels,Plutôt pas d accord,13.0,19.0
Perception de l importance des TIC et attentes en la matière,Q53. La Collectivité a-t-ellebénéficié de l aide financière ou matérielle d autres collectivités en matièrede technologies de l information et de la communication au cours des trois dernières années ?,NON,40.0,77.0
Caractéristiques de la Collectivité,Q2. Quelle est votre fonction au sein de votre Collectivité ?,Responsable technique / télécom / informatique,0.0,2.0
Equipement TIC de votre Collectivité - Ordinateurs,Q14. A l’horizon de 12 mois avez-vous des projetsd’équipements ? plusieurs réponses possibles,Administrations,13.0,22.0
Equipement TIC de votre Collectivité - Connexion Internet,Q24. Tous les ordinateurs ont-ils accès à Internet ?,NON,1.0,6.0
Equipement TIC de votre Collectivité - Site web,Q30. Si non : Avez-vous…,Le projet de créer un site dans l année à venir,2.0,12.0
Equipement TIC de votre Collectivité - Site web,Q35.g. Votre site comporte-t-il les éléments suivants :-Un espace de débat sur les projets de la collectivité,NON,17.0,47.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.c. La Collectivité est-elle équipée ou utilise-t-elle :-Un logiciel dédié à la paie et à la gestion des RH,NON mais c est en projet,0.0,1.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q47.c. Si oui : Quel type de formation leuroffrez-vous, parmi les propositions suivantes ?-Formation à l utilisation d Internet,NON,3.0,4.0
Perception de l importance des TIC et attentes en la matière,Q52.b. Etes-vous d accord avec les affirmations suivantes:-Ces technologies permettent d améliorer fortement la gestion et le fonctionnement de la Collectivité,Plutôt d accord,20.0,46.0
Equipement TIC de votre Collectivité - Ordinateurs,Q13. A quand remonte le dernier achat d un ordinateurpar la Collectivité?,Moins d un an,20.0,41.0
Equipement TIC de votre Collectivité - Ordinateurs,Q13. A quand remonte le dernier achat d un ordinateurpar la Collectivité?,1 à 2 ans,8.0,24.0
Equipement TIC de votre Collectivité - Serveurs et réseau,Q15. Le ou les ordinateurs de la Collectivité sont-ils reliés en réseau ?,NON,19.0,65.0
Equipement TIC de votre Collectivité - Connexion Internet,Q25. Sur les [Q12] postes de votre entreprise, combien ont-ils accès à Internet ?,1,1.0,2.0
Equipement TIC de votre Collectivité - Connexion Internet,Q27. Avez-vous financé le déploiement de hot spots (par Wi-Fi) publics sur le territoire de votre collectivité ?,OUI,2.0,5.0
Equipement TIC de votre Collectivité - Site web,Q31. Depuis combien de temps votre site est-il en ligne ?,De 3 à 5 ans,5.0,9.0
Equipement TIC de votre Collectivité - Site web,Q32. Diriez-vous que vous modifiez ou mettez à jour votre site…,Plusieurs fois par semaine,5.0,1.0
Equipement TIC de votre Collectivité - Site web,Q34. Combien environ avez-vous investi dans la création de ce site ?,10 000€ et plus,1.0,4.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.b. La Collectivité est-elle équipée ou utilise-t-elle :-Un logiciel de gestion budgétaire de la Collectivité,NON,2.0,6.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q47.a. Si oui : Quel type de formation leuroffrez-vous, parmi les propositions suivantes ?-Formation de base à l informatique et à la bureautique,OUI,6.0,6.0
Perception de l importance des TIC et attentes en la matière,Q56.c. Enfin,dans les 3 ans à venir, votre Collectivité a-t-elle l intention d investir dansles technologies de l information et de la communication dans le but…-De développer les relations électroniques avec les autres administrations,NON,4.0,6.0
Perception de l importance des TIC et attentes en la matière,Q56.c. Enfin,dans les 3 ans à venir, votre Collectivité a-t-elle l intention d investir dansles technologies de l information et de la communication dans le but…-De développer les relations électroniques avec les autres administrations,NSP,12.0,12.0
Caractéristiques de la Collectivité,Q6. Votre Collectivité est-elle préoccupée par des zones d ombre dans la couverture deses territoires ? plusieurs réponses possibles,OUI, pour le haut débit mobile,25.0,40.0
Equipement TIC de votre Collectivité - Téléphonie mobile,Q9. Combien la Collectivité a-t-elle souscrit de lignes de téléphonie mobile ?,2,8.0,8.0
Equipement TIC de votre Collectivité - Connexion Internet,Q26. Les différents sites de la Collectivité sont-ils reliés entre eux, en réseau (réseau privatif de la Collectivité) ?,OUI,2.0,0.0
Equipement TIC de votre Collectivité - Site web,Q32. Diriez-vous que vous modifiez ou mettez à jour votre site…,Une fois par semaine,2.0,6.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.e. La Collectivité est-elle équipée ou utilise-t-elle :-Un Intranet (système d information interne sur une interface web à l usage des agents et élus),NON,39.0,86.0
Equipement TIC de votre Collectivité - Open data,Q49. Votre Collectivité s’est-elle lancée dans une démarche d’ouverture des données ?,Pas de projet,40.0,86.0
Perception de l importance des TIC et attentes en la matière,Q52.c. Etes-vous d accord avec les affirmations suivantes:-Ces technologies permettent d améliorer fortement la qualité du service apporté au public,Plutôt d accord,22.0,53.0
Perception de l importance des TIC et attentes en la matière,Q56.b. Enfin,dans les 3 ans à venir, votre Collectivité a-t-elle l intention d investir dansles technologies de l information et de la communication dans le but…-De développer les relations électroniques avec vos administrés,NON,9.0,12.0
Caractéristiques de la Collectivité,Q4. Les services de votre collectivité sont-ils…,Dispersés sur plusieurs sites,8.0,19.0
Caractéristiques de la Collectivité,Q6. Votre Collectivité est-elle préoccupée par des zones d ombre dans la couverture deses territoires ? plusieurs réponses possibles,OUI, pour la téléphonie mobile,28.0,45.0
Caractéristiques de la Collectivité,Q6. Votre Collectivité est-elle préoccupée par des zones d ombre dans la couverture deses territoires ? plusieurs réponses possibles,NON,3.0,21.0
Equipement TIC de votre Collectivité - Serveurs et réseau,Q16. S agit-il… plusieurs réponses possibles,D un réseau Wi-Fi,18.0,22.0
Equipement TIC de votre Collectivité - Connexion Internet,Q25. Sur les [Q12] postes de votre entreprise, combien ont-ils accès à Internet ?,2,0.0,1.0
Equipement TIC de votre Collectivité - Site web,Q30. Si non : Avez-vous…,Le projet de créer un site, mais dans plus d un an,4.0,8.0
Equipement TIC de votre Collectivité - Site web,Q35.c. Votre site comporte-t-il les éléments suivants :-Un annuaire des services, les contacts utiles,OUI,21.0,41.0
Equipement TIC de votre Collectivité - Site web,Q37. Les mises à jour du site sont-elles faites en interne par un agent ou un élu dela Collectivité, ou par un prestataire extérieur ?,Par un prestataire extérieur,6.0,12.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.g. La Collectivité est-elle équipée ou utilise-t-elle :-Une plate-forme de travail collaboratif (un espace de travail virtuel pour gérer des projets à plusieurs, avec mise en commun des documents et outils de travail, du planning…),OUI,4.0,4.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q41. Si la Collectivité utilise une plate-forme de gestion dématérialisée des marchés publics, cette plateforme de gestion des marchés publics est-elle :,Propre à la Collectivité,5.0,12.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q42.a. Cette plateforme permet-elle de :-Télécharger les cahiers des charges des marchés publics que vous émettez,OUI,9.0,23.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q44. La Collectivité a-t-elle l intention de développer des nouveaux services numériques, soit pourses besoins propres en interne, soit pour ses relations avec les administrés ?,Oui, pour ses relations avec les administrés,10.0,19.0
Perception de l importance des TIC et attentes en la matière,Q52.a. Etes-vous d accord avec les affirmations suivantes:-Ces technologies ont un impact positif dans la circulation de l’information, l’organisation du travail et la réduction des délais,Pas du tout d accord,0.0,1.0
Perception de l importance des TIC et attentes en la matière,Q52.e. Etes-vous d accord avec les affirmations suivantes:-La diffusion des technologies de l’information est entravée par le manque de formation des personnels,Tout à fait d accord,16.0,22.0
Caractéristiques de la Collectivité,Q1. Nombre d agents,11 et plus,12.0,14.0
Equipement TIC de votre Collectivité - Téléphonie mobile,Q8. La Collectivité a-t-elle équipé certains agents ou élus de téléphones mobiles professionnels ?,OUI,22.0,47.0
Equipement TIC de votre Collectivité - Connexion Internet,Q23. Diriez-vous que par rapport à vos usages d Internet, le débit dont vous disposez sur votre connexion est…,Très satisfaisant,1.0,4.0
Equipement TIC de votre Collectivité - Connexion Internet,Q25. Sur les [Q12] postes de votre entreprise, combien ont-ils accès à Internet ?,5,0.0,1.0
Equipement TIC de votre Collectivité - Site web,Q31. Depuis combien de temps votre site est-il en ligne ?,De 1 à 3 ans,4.0,13.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q42.b. Cette plateforme permet-elle de :-Déposer par voie électronique leur réponse à vos appels d offres,NON,2.0,3.0
Equipement TIC de votre Collectivité - Open data,Q49.b. Si en projet, à quelle échéance pensez-vous en disposer ?,Dans 1an,4.0,2.0
Equipement TIC de votre Collectivité - Open data,Q50.b. Votre Collectivité a-t-elle mis en place les services suivants ? -Le téléchargement de données à partir du site internet de la collectivité,NON,1.0,0.0
Perception de l importance des TIC et attentes en la matière,Q53. La Collectivité a-t-ellebénéficié de l aide financière ou matérielle d autres collectivités en matièrede technologies de l information et de la communication au cours des trois dernières années ?,OUI,11.0,20.0
Perception de l importance des TIC et attentes en la matière,Q56.a. Enfin,dans les 3 ans à venir, votre Collectivité a-t-elle l intention d investir dansles technologies de l information et de la communication dans le but…-D améliorer le fonctionnement interne de la collectivité,NON,10.0,11.0
Perception de l importance des TIC et attentes en la matière,Q56.c. Enfin,dans les 3 ans à venir, votre Collectivité a-t-elle l intention d investir dansles technologies de l information et de la communication dans le but…-De développer les relations électroniques avec les autres administrations,OUI,36.0,80.0
Caractéristiques de la Collectivité,Q5. Votre Collectivité compte-t-elle un ou des agent(s) spécifiquement en charge del informatique et/ou des télécoms ?,OUI, un agent à plein temps,0.0,5.0
Equipement TIC de votre Collectivité - Ordinateurs,Q12. De combien d ordinateurs votre Collectivité est-elle équipée ?,1,15.0,37.0
Equipement TIC de votre Collectivité - Connexion Internet,Q20. S agit-il d une connexion…,Très haut débit par satellite,2.0,0.0
Equipement TIC de votre Collectivité - Site web,Q34. Combien environ avez-vous investi dans la création de ce site ?,Moins de 500€,3.0,14.0
Equipement TIC de votre Collectivité - Site web,Q35.l. Votre site comporte-t-il les éléments suivants :-Une présentation des activités et acteurs économiques de la collectivité,OUI,19.0,24.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.d. La Collectivité est-elle équipée ou utilise-t-elle :-Un SIG (Système d Information Géographique), outil permettant de gérer de nombreuses politiques publiques en s appuyant sur des cartographies,NON,27.0,68.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.j. La Collectivité est-elle équipée ou utilise-t-elle :-Une plateforme d’open data,NON,45.0,82.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q47.a. Si oui : Quel type de formation leuroffrez-vous, parmi les propositions suivantes ?-Formation de base à l informatique et à la bureautique,NON,0.0,5.0
Perception de l importance des TIC et attentes en la matière,Q52.b. Etes-vous d accord avec les affirmations suivantes:-Ces technologies permettent d améliorer fortement la gestion et le fonctionnement de la Collectivité,Tout à fait d accord,28.0,48.0
Perception de l importance des TIC et attentes en la matière,Q52.e. Etes-vous d accord avec les affirmations suivantes:-La diffusion des technologies de l’information est entravée par le manque de formation des personnels,Plutôt d accord,19.0,48.0
Perception de l importance des TIC et attentes en la matière,Q56.b. Enfin,dans les 3 ans à venir, votre Collectivité a-t-elle l intention d investir dansles technologies de l information et de la communication dans le but…-De développer les relations électroniques avec vos administrés,NSP,16.0,16.0
Caractéristiques de la Collectivité,Q3. Votre Collectivité a-t-elle sur son territoire : plusieurs réponses possibles,Au moins une salle polyvalente municipale,33.0,52.0
Caractéristiques de la Collectivité,Q4. Les services de votre collectivité sont-ils…,Regroupés sur un seul site,43.0,78.0
Equipement TIC de votre Collectivité - Téléphonie fixe,Q11. La Collectivité est-elle équipée d un autocommutateur numérique (PABX) c’est-à-dire d’un standard permettant de dispatcher les appels sur les postes des agents ?,NON,1.0,5.0
Equipement TIC de votre Collectivité - Connexion Internet,Q20. S agit-il d une connexion…,Ne sait pas,4.0,4.0
Equipement TIC de votre Collectivité - Site web,Q29. La Collectivité a-t-elle un site Internet ?,Non,27.0,46.0
Equipement TIC de votre Collectivité - Site web,Q33. Votre site a-t-il été développé…,Par un prestataire extérieur basé sur le continent,3.0,3.0
Equipement TIC de votre Collectivité - Site web,Q36. Votre collectivité dispose-t-elle d un compte sur des sites de réseaux sociaux ?,Oui,6.0,14.0
Equipement TIC de votre Collectivité - Site web,Q36.b. Si oui, lesquels ? plusieurs réponses possibles,Twitter,1.0,0.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q47.d. Si oui : Quel type de formation leuroffrez-vous, parmi les propositions suivantes ?-Formation à l’animation / administration de site web,OUI,2.0,6.0
Perception de l importance des TIC et attentes en la matière,Q52.b. Etes-vous d accord avec les affirmations suivantes:-Ces technologies permettent d améliorer fortement la gestion et le fonctionnement de la Collectivité,Pas du tout d accord,0.0,1.0
Perception de l importance des TIC et attentes en la matière,Q52.d. Etes-vous d accord avec les affirmations suivantes:-La diffusion des technologies de l’information est entravée par le coût financier de leur déploiement,Pas du tout d accord,1.0,1.0
Equipement TIC de votre Collectivité - Connexion Internet,Q23. Diriez-vous que par rapport à vos usages d Internet, le débit dont vous disposez sur votre connexion est…,Plutôt pas satisfaisant,8.0,18.0
Equipement TIC de votre Collectivité - Site web,Q35.p. Votre site comporte-t-il les éléments suivants :-La possibilité de payer des prestations en ligne,NON,23.0,49.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.l. La Collectivité est-elle équipée ou utilise-t-elle :-Une application des métiers spécifique,NON,43.0,88.0
Equipement TIC de votre Collectivité - Open data,Q49. Votre Collectivité s’est-elle lancée dans une démarche d’ouverture des données ?,OUI,1.0,1.0
Equipement TIC de votre Collectivité - Open data,Q50.b. Votre Collectivité a-t-elle mis en place les services suivants ? -Le téléchargement de données à partir du site internet de la collectivité,OUI,0.0,1.0
Perception de l importance des TIC et attentes en la matière,Q52.b. Etes-vous d accord avec les affirmations suivantes:-Ces technologies permettent d améliorer fortement la gestion et le fonctionnement de la Collectivité,Plutôt pas d accord,4.0,1.0
Perception de l importance des TIC et attentes en la matière,Q52.d. Etes-vous d accord avec les affirmations suivantes:-La diffusion des technologies de l’information est entravée par le coût financier de leur déploiement,Tout à fait d accord,24.0,39.0
Perception de l importance des TIC et attentes en la matière,Q56.d. Enfin,dans les 3 ans à venir, votre Collectivité a-t-elle l intention d investir dansles technologies de l information et de la communication dans le but…-De favoriser le développement économique de votre territoire,OUI,31.0,72.0
Perception de l importance des TIC et attentes en la matière,Q56.d. Enfin,dans les 3 ans à venir, votre Collectivité a-t-elle l intention d investir dansles technologies de l information et de la communication dans le but…-De favoriser le développement économique de votre territoire,NON,6.0,4.0
Perception de l importance des TIC et attentes en la matière,Q56.d. Enfin,dans les 3 ans à venir, votre Collectivité a-t-elle l intention d investir dansles technologies de l information et de la communication dans le but…-De favoriser le développement économique de votre territoire,NSP,14.0,21.0
Equipement TIC de votre Collectivité - Connexion Internet,Q22. Si vous avez une connexion bas débit : Avez-vous l intention de passer en haut débit dans l année à venir ?,NON,1.0,3.0
Equipement TIC de votre Collectivité - Site web,Q35.m. Votre site comporte-t-il les éléments suivants :-Une présentation des atouts touristiques et culturels de la collectivité,OUI,21.0,39.0
Equipement TIC de votre Collectivité - Site web,Q35.m. Votre site comporte-t-il les éléments suivants :-Une présentation des atouts touristiques et culturels de la collectivité,NON,2.0,10.0
Equipement TIC de votre Collectivité - Site web,Q35.n. Votre site comporte-t-il les éléments suivants :-La possibilité d effectuer des démarches administratives en ligne,NON,12.0,32.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.g. La Collectivité est-elle équipée ou utilise-t-elle :-Une plate-forme de travail collaboratif (un espace de travail virtuel pour gérer des projets à plusieurs, avec mise en commun des documents et outils de travail, du planning…),NON,38.0,87.0
Perception de l importance des TIC et attentes en la matière,Q51. Diriez-vous que les technologies de l’information et de la communication et Internet sont :,Un élément important,22.0,63.0
Caractéristiques de la Collectivité,Q2. Quelle est votre fonction au sein de votre Collectivité ?,Autre élu(e),4.0,5.0
Caractéristiques de la Collectivité,Q5. Votre Collectivité compte-t-elle un ou des agent(s) spécifiquement en charge del informatique et/ou des télécoms ?,NON,48.0,80.0
Equipement TIC de votre Collectivité - Téléphonie fixe,Q11. La Collectivité est-elle équipée d un autocommutateur numérique (PABX) c’est-à-dire d’un standard permettant de dispatcher les appels sur les postes des agents ?,OUI,10.0,9.0
Equipement TIC de votre Collectivité - Ordinateurs,Q14. A l’horizon de 12 mois avez-vous des projetsd’équipements ? plusieurs réponses possibles,Lieux d’accès public à Internet,13.0,16.0
Equipement TIC de votre Collectivité - Site web,Q29. La Collectivité a-t-elle un site Internet ?,Oui,24.0,51.0
Equipement TIC de votre Collectivité - Site web,Q33. Votre site a-t-il été développé…,En interne, par un agent municipal ou un élu,0.0,13.0
Equipement TIC de votre Collectivité - Site web,Q35.i. Votre site comporte-t-il les éléments suivants :-Des liens vers d autres institutions (département, CTC, etc.),OUI,11.0,16.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q41. Si la Collectivité utilise une plate-forme de gestion dématérialisée des marchés publics, cette plateforme de gestion des marchés publics est-elle :,Mutualisée avec d autres Collectivités,3.0,10.0
